Resource ID,Service Name,Usage Quantity,Usage Unit,Region/Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
res-QTQQHAC7,Pub/Sub,590.1037,Requests,southamerica-east1,55.53,76.7,27785646604,34873445199,19-08-2024 07:29,21-08-2024 09:41,8.18,4827.05,4827,400641
res-4F4ZI2VT,Firestore,152.1866,Requests,australia-southeast1,78.9,60.38,31595229818,32905735415,17-07-2024 20:20,22-07-2024 08:13,7.5,1141.4,1141,94703
res-EJ3TCI72,Compute Engine,90.7333,Hours,northamerica-northeast1,22.41,61.79,35788463783,41202319167,05-08-2024 13:18,09-08-2024 08:02,8.75,793.92,794,65902
res-27V25S4F,Cloud VPN,389.9843,Requests,us-central1,97.47,35.99,96990383791,1.01187E+11,17-08-2024 01:17,19-08-2024 18:27,1.92,748.77,749,62167
res-T91EICVM,Cloud Load Balancing,389.6408,GB,southamerica-east1,65.57,42.91,31182295135,38901764033,12-07-2024 09:18,17-07-2024 02:28,8.26,3218.43,3218,267094
res-251A50KH,Cloud Armor,902.3603,GB,europe-north1,27.7,72.18,75263901953,80604527913,23-08-2024 17:18,29-08-2024 07:02,6.25,5639.75,5640,468120
res-3JSZVG7Z,Cloud Spanner,355.828,GB,europe-west3,89.39,91.02,84041157244,92553952311,26-08-2024 19:31,29-08-2024 04:27,5.17,1839.63,1840,152720
res-5O0LZKYC,BigQuery,477.7508,Requests,europe-north1,63.32,46.75,88256196324,95036019889,01-07-2024 19:51,04-07-2024 21:24,7.49,3578.35,3578,296974
res-PGHLRRI4,Cloud Load Balancing,31.5518,Requests,northamerica-northeast1,62.15,16.46,54485062086,62813003941,10-08-2024 17:05,15-08-2024 11:52,8.65,272.92,273,22659
res-E5DZLWUA,Dataflow,24.5167,Hours,northamerica-northeast1,63.68,9.91,34927527769,44683895186,27-08-2024 04:52,28-08-2024 05:23,7.74,189.76,190,15770
res-A6LFJNRY,Compute Engine,85.0167,Hours,southamerica-east1,67.5,76.78,87269231137,92709161595,16-08-2024 00:18,19-08-2024 13:19,9.97,847.62,848,70384
res-CWFW5Z7I,Cloud Dataproc,832.1664,Requests,australia-southeast1,23.65,80.19,93395407276,1.02343E+11,26-08-2024 16:24,31-08-2024 13:07,5.91,4918.1,4918,408194
res-UEL2KJBD,Cloud VPC,298.0653,GB,us-west1,66.82,57.94,24527235493,26241930001,02-07-2024 12:35,05-07-2024 16:16,7.34,2187.8,2188,181604
res-2NWIUO2C,Cloud Load Balancing,868.8778,Requests,asia-east1,72.08,28.06,13159648227,16566379456,14-07-2024 17:48,16-07-2024 23:28,2.33,2024.49,2024,167992
res-TDYG7ESV,Cloud NAT,306.7861,GB,europe-north1,19.59,95.71,98160908124,1.06232E+11,10-07-2024 23:15,12-07-2024 02:51,8.51,2610.75,2611,216713
res-66L7XN4J,AI Platform,31.9333,Hours,europe-west1,5.7,31.59,35137713111,43813630384,29-07-2024 06:08,30-07-2024 14:04,1.05,33.53,34,2822
res-SG6WQFX8,Cloud Armor,715.0198,GB,us-west1,44.97,13.16,47790743712,50699817640,14-07-2024 09:21,18-07-2024 20:13,3.29,2352.42,2352,195216
res-6EL50YPV,Cloud CDN,749.8858,GB,europe-north1,84.06,47.12,58205533146,63495177785,16-08-2024 20:04,21-08-2024 12:08,2.03,1522.27,1522,126326
res-ALHVTEHO,Kubernetes Engine,110.3167,Hours,us-east1,49.67,26.17,79950895147,87873607051,03-08-2024 09:57,08-08-2024 00:16,7.61,839.51,840,69720
res-Y3DP4TQK,Cloud Run,55.5667,Hours,us-west1,4.03,16.21,39972807265,42908382034,23-08-2024 16:13,25-08-2024 23:47,3.2,177.81,178,14774
res-XGSQU6G9,Dataflow,37.85,Hours,europe-west1,30.13,51.99,47432776135,52386027380,22-07-2024 15:15,24-07-2024 05:06,4.74,179.41,179,14857
res-JYW9QXTH,Cloud Functions,25.1167,Hours,europe-west3,31.07,40.3,67988066933,74171230563,12-07-2024 23:41,14-07-2024 00:48,4.91,123.32,123,10209
res-M0XOPAGW,Cloud Armor,222.3365,Requests,australia-southeast1,45.3,95.77,32935662005,40639831707,21-08-2024 10:30,22-08-2024 20:06,3.17,704.81,705,58515
res-HLWAGRJX,Pub/Sub,565.1884,GB,us-east1,5.46,98.89,87565187937,92048056617,02-08-2024 00:52,03-08-2024 16:36,7.16,4046.75,4047,335901
res-TH2HV714,Firestore,668.343,GB,europe-west3,57.12,76.38,36394756934,46156760944,01-08-2024 03:28,06-08-2024 02:35,8.9,5948.25,5948,493684
res-NGNWFF0O,Pub/Sub,502.7493,Requests,asia-northeast1,62.01,51.31,70657848518,77304088526,21-07-2024 11:28,22-07-2024 15:42,2.24,1126.16,1126,93458
res-UB3MG63E,Cloud NAT,144.2559,Requests,us-west1,99.71,0.93,91717311680,95042899077,04-07-2024 01:20,08-07-2024 10:05,4.99,719.84,720,59760
res-P0IB37XB,Cloud Spanner,67.2368,Requests,asia-southeast1,95.28,57.91,89003991655,96601656791,12-07-2024 21:32,14-07-2024 20:22,2.63,176.83,177,14691
res-8DMDOAEB,Cloud Load Balancing,992.0661,GB,southamerica-east1,59.72,17.93,49573513144,57377379156,02-07-2024 16:07,04-07-2024 01:47,4.63,4593.27,4593,381219
res-ZWIM5IQO,Cloud Load Balancing,992.7546,GB,southamerica-east1,7.86,24.27,35775812684,37743737345,13-08-2024 08:40,16-08-2024 16:17,2.32,2303.19,2303,191149
res-ND973JKK,Cloud SQL,760.0749,Requests,us-east1,98.05,41.43,46082827894,47296152299,12-07-2024 05:44,17-07-2024 01:48,6.96,5290.12,5290,439070
res-RMU6GKFR,Cloud Memorystore,657.0231,GB,asia-east1,30.7,10.91,19271396797,27245078419,14-08-2024 10:27,20-08-2024 03:38,3.76,2470.41,2470,205010
res-4DS5ZYPH,Cloud Run,32.4667,Hours,us-central1,19.26,8.78,49466363040,55999156322,12-08-2024 16:40,14-08-2024 01:08,4.48,145.45,145,12035
res-5K3QHZV3,Cloud Functions,65.3167,Hours,asia-southeast1,68.32,2.37,32960902132,42041161989,07-07-2024 00:53,09-07-2024 18:12,6.64,433.7,434,36022
res-N3JA77XL,Compute Engine,90.6,Hours,asia-northeast1,76.61,96.05,74434872643,84307604798,25-07-2024 07:31,29-07-2024 02:07,2.1,190.26,190,15770
res-SSBP7G7A,BigQuery,742.5462,GB,asia-east1,29.67,96.85,40121800532,45367120844,14-08-2024 03:09,19-08-2024 14:12,2.15,1596.47,1596,132468
res-8EKE64Y9,Cloud Spanner,961.1396,Requests,us-central1,55.96,8.8,13441390615,15127259133,05-07-2024 15:29,11-07-2024 07:37,8.81,8467.64,8468,702844
res-5JQE0V7N,Container Registry,227.7202,GB,us-west1,54.59,42.02,79528411554,87175086484,06-07-2024 00:54,08-07-2024 02:20,8.03,1828.59,1829,151807
res-IGDCS3TU,Cloud Load Balancing,960.8627,GB,europe-north1,15.27,94.05,93545537622,98590543085,04-08-2024 02:23,06-08-2024 22:53,1.81,1739.16,1739,144337
res-UPEK7TGF,Cloud Armor,339.41,Requests,europe-west3,88.22,64.11,90527835813,92142710021,03-07-2024 12:51,09-07-2024 12:26,4.35,1476.43,1476,122508
res-Q31L0E0M,Cloud Interconnect,132.8637,Requests,us-central1,68.3,65.19,67918645337,73433835245,08-07-2024 07:30,09-07-2024 21:19,1.39,184.68,185,15355
res-3DE1XB74,Cloud SQL,102.9044,GB,asia-northeast1,91.67,72.89,95888780202,1.05066E+11,31-07-2024 02:06,04-08-2024 05:04,3.33,342.67,343,28469
res-WRHTSLS8,Cloud Endpoints,271.0462,GB,europe-west1,74.75,64.91,44584192276,47193477596,15-08-2024 16:59,21-08-2024 03:45,4.93,1336.26,1336,110888
res-YAJ9RWIJ,Cloud Memorystore,940.1312,Requests,us-east1,67.13,85.12,36054564196,37215668282,19-07-2024 10:32,24-07-2024 08:12,7.7,7239.01,7239,600837
res-J1A4NFH8,Cloud VPN,789.3788,GB,us-east1,32.32,14.03,97102223452,1.03176E+11,03-08-2024 23:10,05-08-2024 17:38,6.17,4870.47,4870,404210
res-EALEFOKP,Compute Engine,64.1167,Hours,us-west1,46.3,93.62,66523795050,68069673690,19-07-2024 23:26,22-07-2024 15:33,2.07,132.72,133,11039
res-WN4BM9FD,BigQuery,804.4451,Requests,australia-southeast1,99.56,53.42,50602995142,59486535960,05-07-2024 01:13,06-07-2024 07:09,6.8,5470.23,5470,454010
res-TATL6NKT,Cloud NAT,16.8701,Requests,asia-southeast1,35.67,78.98,84728951352,86143096111,28-07-2024 19:53,03-08-2024 08:55,9.35,157.74,158,13114
res-OJK06WNM,Container Registry,86.0206,Requests,europe-west3,0.17,34.07,4991176366,8627486927,24-08-2024 15:41,28-08-2024 22:58,8.54,734.62,735,61005
res-ASTO68FD,Cloud Dataproc,107.9329,Requests,southamerica-east1,97.14,54.14,91345077372,95871025046,06-07-2024 11:18,12-07-2024 02:04,4.22,455.48,455,37765
res-F3P3S9SJ,Cloud Armor,410.0347,Requests,europe-north1,24.22,20.83,69278146151,72893012474,07-07-2024 17:00,12-07-2024 07:22,5.01,2054.27,2054,170482
res-R96K0UAA,Dataflow,58.0667,Hours,southamerica-east1,21.65,16.41,6419077674,12557263383,14-08-2024 14:50,17-08-2024 00:54,3.48,202.07,202,16766
res-UF72S2ZA,Cloud Build,868.3373,GB,us-central1,48.26,26.13,86582029073,91881245355,17-08-2024 12:09,22-08-2024 03:54,8.91,7736.89,7737,642171
res-SPITPRK0,Compute Engine,103.5667,Hours,us-central1,64.54,62.33,76959968688,84668376889,02-08-2024 23:55,07-08-2024 07:29,4.88,505.41,505,41915
res-KENC5DI4,Cloud Interconnect,511.4297,GB,europe-north1,14.87,73.22,60637102983,68397913897,19-07-2024 06:35,21-07-2024 00:30,2,1022.86,1023,84909
res-N4DACW72,Cloud CDN,536.385,GB,asia-southeast1,58.59,56.39,11254718888,15903336432,28-08-2024 23:54,02-09-2024 23:21,1.37,734.85,735,61005
res-UMDNFSOR,AI Platform,50.7833,Hours,us-central1,62.22,76.15,20012839291,24993496937,13-08-2024 19:31,15-08-2024 22:18,3.31,168.09,168,13944
res-PAQEKYLT,Container Registry,755.6246,GB,europe-west1,40.49,63.72,94863560207,1.02431E+11,10-07-2024 00:19,13-07-2024 06:46,7.33,5538.73,5539,459737
res-7WNF8X7W,Cloud VPC,500.0325,Requests,asia-east1,8.38,45.3,39575109900,48363862744,16-07-2024 05:09,20-07-2024 09:14,2.46,1230.08,1230,102090
res-183YWOLN,Cloud Armor,647.2573,Requests,europe-west1,83.58,21.8,69192548519,74267252272,25-07-2024 07:07,28-07-2024 22:08,5.94,3844.71,3845,319135
res-QZSVFSSA,Cloud Spanner,325.0195,Requests,southamerica-east1,7.74,32.63,4134917123,11405712912,03-08-2024 16:43,08-08-2024 22:03,9.87,3207.94,3208,266264
res-ACEAM0OK,Cloud Dataproc,876.9623,Requests,australia-southeast1,69.75,67.91,48325139711,48893087132,06-07-2024 16:34,09-07-2024 09:33,9.61,8427.61,8428,699524
res-S463U44F,Cloud Memorystore,324.1135,GB,europe-west1,53.21,24.7,56424730118,64549627602,19-07-2024 12:19,23-07-2024 02:49,9.12,2955.92,2956,245348
res-1MJM7FDN,Cloud CDN,269.1385,GB,europe-west3,0.15,73.37,89921435525,96947138575,20-07-2024 17:12,23-07-2024 00:45,4.86,1308.01,1308,108564
res-5ZMFEUSN,Cloud VPN,955.6515,GB,southamerica-east1,17.81,79.33,19838594075,19871372484,27-07-2024 19:28,29-07-2024 13:39,2.79,2666.27,2666,221278
res-0XZC95XI,Cloud Interconnect,251.7631,GB,us-east1,48.02,36.94,17720150775,21629763823,07-07-2024 14:03,11-07-2024 11:10,5.91,1487.92,1488,123504
res-UYX9HR56,Cloud Build,474.1196,GB,us-east1,99.31,49.17,23586761723,23997356455,17-08-2024 14:56,21-08-2024 09:03,9.93,4708.01,4708,390764
res-DJA0J2HT,Container Registry,992.5085,Requests,us-east1,43.51,62,19452817894,20430806523,12-08-2024 04:55,14-08-2024 20:36,7.17,7116.29,7116,590628
res-YFTXHZ6V,Cloud VPC,531.6863,GB,us-west1,53.93,12.52,3696418486,12776658300,02-07-2024 18:46,07-07-2024 02:27,9.6,5104.19,5104,423632
res-IF612JJD,Cloud Run,26.6167,Hours,us-east1,14.82,44.84,88644466509,88993172945,08-08-2024 04:57,09-08-2024 07:34,6.88,183.12,183,15189
res-P48QXSH3,Cloud Build,555.9826,Requests,southamerica-east1,2.24,9.65,30995393336,34105264509,15-08-2024 10:39,17-08-2024 14:38,4.35,2418.52,2419,200777
res-DMQNKYQI,Container Registry,335.4807,GB,europe-west3,74.51,0.51,43819259319,45650656604,24-07-2024 08:29,30-07-2024 01:45,9.23,3096.49,3096,256968
res-W17TJLS5,Cloud SQL,906.43,Requests,northamerica-northeast1,97.03,1.48,16632427891,17804809971,09-07-2024 09:21,14-07-2024 02:52,3.33,3018.41,3018,250494
res-Y743O1KJ,Cloud Endpoints,385.5739,Requests,northamerica-northeast1,69.4,27.67,62397005339,72290287263,21-08-2024 22:16,26-08-2024 10:28,4.56,1758.22,1758,145914
res-UOBIS97Y,Cloud Run,127.3833,Hours,asia-northeast1,9.36,66.82,11088197445,17528929285,10-08-2024 17:20,16-08-2024 00:43,9.75,1241.99,1242,103086
res-IPSRXLS0,Cloud Spanner,587.1242,GB,europe-west1,24.73,11.63,38218995247,46836316447,02-07-2024 00:58,06-07-2024 01:13,6.25,3669.53,3670,304610
res-028HLTIJ,Cloud NAT,385.5698,Requests,europe-west1,92.06,55.33,28186130091,36292243677,21-08-2024 17:41,24-08-2024 15:19,7.44,2868.64,2869,238127
res-NOJL21YR,Cloud Functions,85.8,Hours,asia-east1,56.82,65.99,33548048805,36196607093,30-06-2024 18:47,04-07-2024 08:35,2.15,184.47,184,15272
res-IPXAPWCU,Cloud Run,135.0333,Hours,southamerica-east1,88.6,1.48,15437392711,18692105460,12-08-2024 22:30,18-08-2024 13:32,2.27,306.53,307,25481
res-3MIS5OW4,Firestore,597.679,Requests,asia-northeast1,35.52,38.97,20441832450,29605942425,30-07-2024 14:05,01-08-2024 14:18,8.21,4906.94,4907,407281
res-4AA89AW0,Cloud Storage,359.8386,GB,northamerica-northeast1,95.36,86.53,76642890596,85066947042,27-08-2024 15:03,31-08-2024 23:33,2.38,856.42,856,71048
res-50ENK9SD,Cloud Load Balancing,419.7798,GB,southamerica-east1,32.05,19.1,46826161996,52000297359,21-07-2024 04:58,23-07-2024 05:49,3.69,1548.99,1549,128567
res-EL6QGI8H,Cloud VPC,491.2257,GB,europe-north1,43.21,68.35,86188507705,89910078944,26-07-2024 06:13,28-07-2024 21:25,4.67,2294.02,2294,190402
res-I30ERORH,Compute Engine,91.8667,Hours,northamerica-northeast1,32.28,84.95,90325073305,96842013834,25-08-2024 10:20,29-08-2024 06:12,9.97,915.91,916,76028
res-WZAXU5QI,Cloud CDN,450.6231,Requests,us-west1,60.91,22.03,98546508449,1.03155E+11,02-08-2024 15:50,05-08-2024 08:45,5.7,2568.55,2569,213227
res-BPP2I4JY,Cloud Spanner,531.0639,Requests,asia-east1,75.38,12.43,39898883632,48932096910,01-07-2024 09:54,05-07-2024 10:35,2.85,1513.53,1514,125662
res-SXTAFMSQ,Cloud CDN,478.0201,GB,asia-southeast1,45.44,58.32,47088754447,47787130207,21-08-2024 18:47,24-08-2024 10:23,4.51,2155.87,2156,178948
res-6QQFCS6P,Kubernetes Engine,129.2667,Hours,southamerica-east1,48.49,79.99,18073950898,25067618553,24-07-2024 10:04,29-07-2024 19:20,2.79,360.65,361,29963
res-3XQFDWRL,Pub/Sub,527.3959,GB,us-east1,53.57,54.26,10768910855,12865903297,16-07-2024 04:38,17-07-2024 10:00,2.63,1387.05,1387,115121
res-332C4VUK,BigQuery,868.9443,GB,europe-north1,7.93,58.75,21532985039,26104172138,05-07-2024 21:34,08-07-2024 06:45,6.41,5569.93,5570,462310
res-9BI125KP,Compute Engine,74.9833,Hours,australia-southeast1,59,10.81,65244828596,74874600281,25-07-2024 22:38,29-07-2024 01:37,4.35,326.18,326,27058
res-WSIQKZD2,Cloud SQL,152.2884,GB,northamerica-northeast1,97.7,32.34,12626016997,15447062894,24-07-2024 11:41,29-07-2024 05:57,4.58,697.48,697,57851
res-S9RSLPXV,Cloud VPC,323.1606,Requests,us-central1,3.71,74.27,66009372373,67621477871,27-07-2024 02:23,28-07-2024 08:06,2.52,814.36,814,67562
res-LHYKHUU8,Compute Engine,130.15,Hours,us-west1,95.19,7.84,5905788046,14895918364,28-08-2024 08:27,02-09-2024 18:36,7.69,1000.85,1001,83083
res-M8RGW39R,Cloud Storage,376.4622,GB,europe-west3,13.08,0.58,42831912294,43777704078,03-08-2024 09:32,06-08-2024 16:14,9.62,3621.57,3622,300626
res-LXFL51RN,Cloud Dataproc,824.8213,GB,europe-west1,87.46,12.53,39375271299,46063949220,08-08-2024 21:45,11-08-2024 02:52,4.21,3472.5,3472,288176
res-QW1X0I92,Compute Engine,54.4,Hours,asia-east1,20.38,81.34,94605229974,1.00479E+11,09-07-2024 17:20,11-07-2024 23:44,7.52,409.09,409,33947
res-ZRV6SYR0,Cloud Functions,96.0667,Hours,asia-east1,61.98,47.25,71692174147,78570702375,23-07-2024 06:54,27-07-2024 06:58,3.69,354.49,354,29382
res-DYNXWF06,Cloud Storage,272.1443,GB,us-west1,78.11,49.2,75506655290,82281017569,27-07-2024 15:18,29-07-2024 14:50,9.53,2593.54,2594,215302
res-4GSM5UB0,Cloud Load Balancing,467.4799,Requests,us-west1,46.41,97.44,74983292030,76754044332,24-07-2024 19:33,29-07-2024 05:13,5.94,2776.83,2777,230491
res-5YOKEQSZ,Cloud Armor,473.736,Requests,us-east1,1.34,40.77,12401813630,18213069052,18-08-2024 02:24,23-08-2024 23:24,4.72,2236.03,2236,185588
res-FJ60VPX8,Cloud VPC,229.216,Requests,northamerica-northeast1,82.75,72.53,8719227748,15568269776,18-07-2024 23:36,21-07-2024 15:03,6.32,1448.65,1449,120267
res-IE6CLT4T,Cloud Build,737.7243,GB,us-west1,84.02,10.6,41209869585,42827664168,21-08-2024 08:33,26-08-2024 11:51,6.65,4905.87,4906,407198
res-42IIGA5O,BigQuery,480.9411,GB,us-west1,77.93,82.64,9465505252,14108034396,30-07-2024 07:15,03-08-2024 01:29,2.22,1067.69,1068,88644
res-R88AAWSC,BigQuery,188.1078,Requests,us-east1,56.02,94.9,55533361230,63763786010,20-08-2024 13:06,23-08-2024 08:24,8.1,1523.67,1524,126492
res-3INHYCC5,Firestore,131.4516,GB,europe-north1,29.46,51.03,7043800643,15105140024,24-07-2024 03:14,25-07-2024 11:33,3.72,489,489,40587
res-CX98PG3J,Cloud CDN,334.1195,GB,asia-southeast1,89.13,2.68,84348089965,91125972851,06-07-2024 20:33,10-07-2024 10:18,7.71,2576.06,2576,213808
res-JI5I18V9,Cloud Storage,934.7773,GB,europe-west1,60.89,34.97,28268074454,30822480444,30-07-2024 16:42,01-08-2024 01:44,5.97,5580.62,5581,463223
res-BVU9L5PE,Dataflow,132.65,Hours,europe-west1,76.25,35.21,22472644762,24049584401,21-07-2024 05:54,26-07-2024 18:33,4.11,545.19,545,45235
res-BI1A8DVI,Cloud Memorystore,955.8838,GB,europe-west1,73.05,60.61,24165580908,32583510276,18-08-2024 20:01,24-08-2024 04:46,2.08,1988.24,1988,165004
res-A6QRE83W,Compute Engine,84.4333,Hours,europe-west1,16.18,49.56,4338182587,8628537868,20-08-2024 01:44,23-08-2024 14:10,3.51,296.36,296,24568
res-IVCT1BUF,Cloud Data Fusion,945.9349,GB,southamerica-east1,2.21,98.03,12046826888,17548421383,14-07-2024 11:36,19-07-2024 23:33,4.87,4606.7,4607,382381
res-BX65RY02,AI Platform,78.7333,Hours,northamerica-northeast1,28.89,13.96,36974776658,44212027600,26-08-2024 15:04,29-08-2024 21:48,3.38,266.12,266,22078
res-FNMVRLU5,Cloud SQL,747.5286,GB,asia-southeast1,99.27,57.33,89313187681,94130910810,06-08-2024 14:09,08-08-2024 11:15,5.84,4365.57,4366,362378
res-K3BCF3R1,Firestore,597.1564,Requests,asia-east1,59.22,56.06,14203586534,16388689847,08-08-2024 06:15,14-08-2024 04:26,4.38,2615.55,2616,217128
res-5DH5XK7R,Cloud VPN,458.406,Requests,asia-northeast1,86.76,39.16,3871554594,7171572125,20-07-2024 14:28,23-07-2024 12:48,8.14,3731.42,3731,309673
res-OIFGN9S6,Cloud CDN,624.6729,Requests,australia-southeast1,37.12,15.38,36700200498,39984223729,02-08-2024 05:59,06-08-2024 03:48,4.7,2935.96,2936,243688
res-QFCBS0OP,Cloud Storage,748.3421,GB,southamerica-east1,70.54,72.19,47338870319,48505753593,18-07-2024 16:38,20-07-2024 09:14,8.49,6353.42,6353,527299
res-HH25CATI,Cloud Armor,11.5256,Requests,us-west1,88.75,93.94,41389322836,43470819291,13-08-2024 19:51,17-08-2024 21:24,4.89,56.36,56,4648
res-R75ZLOMH,Cloud Memorystore,289.7888,Requests,us-central1,49.21,8.33,83185498241,88970489424,17-07-2024 19:28,21-07-2024 16:48,8.76,2538.55,2539,210737
res-D8Z8BVYA,Cloud Storage,957.1176,GB,europe-west1,80.93,21.64,2577353951,7390046126,21-08-2024 08:30,25-08-2024 01:31,8.82,8441.78,8442,700686
res-NIS6F5IW,Cloud Functions,130.2,Hours,europe-west3,92.54,97.74,16242121259,16940521860,14-08-2024 16:39,20-08-2024 02:51,4.81,626.26,626,51958
res-9DJ03H48,Container Registry,193.7868,GB,asia-east1,43.96,53.32,98898014103,1.04063E+11,25-08-2024 11:07,28-08-2024 13:59,7,1356.51,1357,112631
res-3SQHP1DE,Cloud Armor,165.5867,GB,europe-west1,49.06,85.71,27863103086,28191939191,17-07-2024 18:39,22-07-2024 00:58,7.19,1190.57,1191,98853
res-07FYPZ25,Kubernetes Engine,32.85,Hours,europe-west3,23.43,74.89,26704872779,33422677812,20-07-2024 08:55,21-07-2024 17:46,5.99,196.77,197,16351
res-51VG0KX4,Kubernetes Engine,98.6,Hours,asia-northeast1,81.13,53.15,12064722865,18929788829,14-08-2024 03:02,18-08-2024 05:38,7.8,769.08,769,63827
res-EBIEIX2P,Cloud Data Fusion,513.8208,GB,europe-north1,58.21,86.88,55706638511,65365610378,31-07-2024 09:23,04-08-2024 10:09,5.53,2841.43,2841,235803
res-6ACV3TGJ,Container Registry,151.9106,Requests,asia-east1,49.47,92.47,81265407319,81856337678,29-07-2024 15:51,02-08-2024 16:09,8.21,1247.19,1247,103501
res-6TMZ7XGI,Cloud Interconnect,33.5644,GB,us-central1,64.51,55.66,14816960426,16678511128,05-08-2024 06:07,06-08-2024 19:21,5.34,179.23,179,14857
res-ND8F0M4A,Cloud Run,81.9667,Hours,asia-east1,9.11,91.81,2733413636,11394335199,27-08-2024 01:07,30-08-2024 11:05,3.79,310.65,311,25813
res-KEQ8NILK,Dataflow,91.2833,Hours,southamerica-east1,49.39,55.98,22028437577,27660730423,08-08-2024 06:32,12-08-2024 01:49,2.86,261.07,261,21663
res-XQ207VHQ,Cloud Data Fusion,285.4157,GB,asia-southeast1,61.17,60.41,90250268485,93158127891,25-07-2024 04:56,29-07-2024 03:30,4.99,1424.22,1424,118192
res-SJ11891I,Cloud CDN,920.1814,GB,asia-southeast1,11.67,6.75,41021653388,41645168947,01-08-2024 16:15,03-08-2024 21:48,5.78,5318.65,5319,441477
res-H19C9MGQ,Firestore,172.8983,Requests,australia-southeast1,65.78,49.37,40690406858,42071342892,15-07-2024 14:39,16-07-2024 21:20,3.57,617.25,617,51211
res-XIM3O9P0,Pub/Sub,797.1267,Requests,asia-northeast1,47.26,32.4,49133289978,57067243038,28-07-2024 13:29,31-07-2024 03:59,2.37,1889.19,1889,156787
